"id";"hostSrc";"hostDest";"portSrc";"portDest";"protocol"
1;"131.243.40.126";"239.255.255.253";62307;427;"UDP"
2;"128.3.161.22";"128.3.255.229";870;515;"TCP"
3;"128.3.255.46";"131.243.160.98";2067;7777;"TCP"
4;"128.3.161.177";"128.3.255.189";3396;3964;"TCP"
5;"128.3.161.177";"128.3.255.189";3396;3965;"TCP"
6;"128.3.161.177";"128.3.255.189";3396;3960;"TCP"
7;"128.3.255.220";"128.3.96.230";161;2232;"UDP"
8;"128.3.161.177";"128.3.255.189";3396;3969;"TCP"
9;"128.3.255.189";"128.3.161.5";3988;3396;"TCP"
10;"205.0.3.110";"128.3.255.49";80;3688;"TCP"
11;"128.3.255.157";"131.243.141.187";1037;524;"TCP"
12;"128.3.255.46";"128.3.161.165";1033;524;"TCP"
13;"131.243.142.214";"128.3.255.224";524;3017;"TCP"
14;"131.243.203.214";"239.255.255.253";53004;427;"UDP"
15;"128.3.255.172";"118.147.64.213";2046;80;"TCP"
16;"128.3.255.49";"59.69.237.47";3810;80;"TCP"
17;"128.3.255.49";"59.69.237.47";3696;80;"TCP"
18;"128.3.161.177";"128.3.255.90";1690;161;"UDP"
19;"128.3.161.46";"128.3.255.153";4870;161;"UDP"
20;"58.247.242.225";"128.3.255.49";80;3950;"TCP"
21;"128.3.161.22";"128.3.255.241";811;515;"TCP"
22;"58.247.242.225";"128.3.255.49";80;3955;"TCP"
23;"128.3.255.35";"128.3.161.230";3006;524;"TCP"
24;"128.3.255.67";"128.3.164.194";2348;143;"TCP"
25;"128.3.255.21";"207.235.151.13";4458;80;"TCP"
26;"128.3.255.42";"204.52.78.117";3424;80;"TCP"
27;"131.243.41.20";"239.255.255.253";59258;427;"UDP"
28;"128.3.255.189";"128.3.161.177";3985;3396;"TCP"
29;"59.69.237.47";"128.3.255.49";80;3806;"TCP"
30;"59.69.237.47";"128.3.255.49";80;3807;"TCP"
31;"59.69.237.47";"128.3.255.49";80;3804;"TCP"
32;"59.69.237.47";"128.3.255.49";80;3802;"TCP"
33;"59.69.237.47";"128.3.255.49";80;3803;"TCP"
34;"59.69.237.47";"128.3.255.49";80;3800;"TCP"
35;"59.69.237.47";"128.3.255.49";80;3801;"TCP"
36;"131.243.141.187";"128.3.255.134";524;1039;"TCP"
37;"59.69.237.47";"128.3.255.49";80;3809;"TCP"
38;"128.3.255.24";"128.3.161.182";1271;139;"TCP"
39;"128.3.5.1";"239.255.255.253";49432;427;"UDP"
40;"128.3.255.204";"218.131.115.43";2795;80;"TCP"
41;"128.3.255.49";"59.69.237.47";3849;80;"TCP"
42;"128.3.112.228";"239.255.255.253";57320;427;"UDP"
43;"128.3.255.49";"59.69.237.47";3505;80;"TCP"
44;"131.243.140.86";"128.3.255.75";524;1193;"TCP"
45;"59.69.237.47";"128.3.255.49";80;3486;"TCP"
46;"59.69.237.47";"128.3.255.49";80;3487;"TCP"
47;"59.69.237.47";"128.3.255.49";80;3488;"TCP"
48;"59.69.237.47";"128.3.255.49";80;3489;"TCP"
49;"128.3.255.172";"118.147.64.213";2045;80;"TCP"
