"id";"address";"exchanged"
1;"131.243.104.196";"{""Volume"": 512, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 512, ""Nombreout"": 8, ""Volumein"": 0}}, ""id"": 308}"
2;"131.243.127.24";"{""Volume"": 192, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 192, ""Nombreout"": 3, ""Volumein"": 0}}, ""id"": 5}"
3;"128.3.211.102";"{""Volume"": 192, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 192, ""Nombreout"": 3, ""Volumein"": 0}}, ""id"": 135}"
4;"131.243.14.90";"{""Volume"": 512, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 512, ""Nombreout"": 8, ""Volumein"": 0}}, ""id"": 336}"
5;"128.3.96.230";"{""Volume"": 2816, ""Protocole"": {""Autre"": {""Nombrein"": 7, ""Volumeout"": 448, ""Nombreout"": 7, ""Volumein"": 448}, ""ICMP"": {""Nombrein"": 15, ""Volumeout"": 960, ""Nombreout"": 15, ""Volumein"": 960}}, ""id"": 88}"
6;"131.243.140.86";"{""Volume"": 384, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 384, ""Nombreout"": 6, ""Volumein"": 0}}, ""id"": 101}"
7;"131.243.140.85";"{""Volume"": 448, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 448, ""Nombreout"": 7, ""Volumein"": 0}}, ""id"": 240}"
8;"131.243.144.105";"{""Volume"": 256, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 256, ""Nombreout"": 4, ""Volumein"": 0}}, ""id"": 265}"
9;"131.243.26.106";"{""Volume"": 512, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 512, ""Nombreout"": 8, ""Volumein"": 0}}, ""id"": 150}"
10;"131.243.170.163";"{""Volume"": 256, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 256, ""Nombreout"": 4, ""Volumein"": 0}}, ""id"": 41}"
11;"193.116.32.109";"{""Volume"": 8256, ""Protocole"": {""HTTP"": {""Nombrein"": 50, ""Volumeout"": 5056, ""Nombreout"": 79, ""Volumein"": 3200}}, ""id"": 25}"
12;"128.3.164.194";"{""Volume"": 2240, ""Protocole"": {""IMAPS"": {""Nombrein"": 20, ""Volumeout"": 960, ""Nombreout"": 15, ""Volumein"": 1280}}, ""id"": 98}"
13;"118.188.34.111";"{""Volume"": 4032, ""Protocole"": {""HTTP"": {""Nombrein"": 29, ""Volumeout"": 2176, ""Nombreout"": 34, ""Volumein"": 1856}}, ""id"": 47}"
14;"131.243.155.1";"{""Volume"": 1920, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 1920, ""Nombreout"": 30, ""Volumein"": 0}}, ""id"": 30}"
15;"128.3.164.191";"{""Volume"": 1280, ""Protocole"": {""Autre"": {""Nombrein"": 10, ""Volumeout"": 640, ""Nombreout"": 10, ""Volumein"": 640}}, ""id"": 11}"
16;"131.243.103.106";"{""Volume"": 4736, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 4736, ""Nombreout"": 74, ""Volumein"": 0}}, ""id"": 44}"
17;"128.3.191.81";"{""Volume"": 512, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 512, ""Nombreout"": 8, ""Volumein"": 0}}, ""id"": 107}"
18;"131.243.107.179";"{""Volume"": 512, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 512, ""Nombreout"": 8, ""Volumein"": 0}}, ""id"": 220}"
19;"131.243.146.16";"{""Volume"": 256, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 256, ""Nombreout"": 4, ""Volumein"": 0}}, ""id"": 131}"
20;"131.243.140.238";"{""Volume"": 512, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 512, ""Nombreout"": 8, ""Volumein"": 0}}, ""id"": 334}"
21;"128.3.211.215";"{""Volume"": 512, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 512, ""Nombreout"": 8, ""Volumein"": 0}}, ""id"": 171}"
22;"131.243.101.105";"{""Volume"": 256, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 256, ""Nombreout"": 4, ""Volumein"": 0}}, ""id"": 75}"
23;"131.243.101.100";"{""Volume"": 256, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 256, ""Nombreout"": 4, ""Volumein"": 0}}, ""id"": 327}"
24;"131.243.102.75";"{""Volume"": 640, ""Protocole"": {""Autre"": {""Nombrein"": 5, ""Volumeout"": 320, ""Nombreout"": 5, ""Volumein"": 320}}, ""id"": 63}"
25;"128.3.209.222";"{""Volume"": 128, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 128, ""Nombreout"": 2, ""Volumein"": 0}}, ""id"": 52}"
26;"128.3.194.105";"{""Volume"": 128, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 128, ""Nombreout"": 2, ""Volumein"": 0}}, ""id"": 115}"
27;"128.3.112.36";"{""Volume"": 768, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 768, ""Nombreout"": 12, ""Volumein"": 0}}, ""id"": 176}"
28;"131.243.88.34";"{""Volume"": 512, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 512, ""Nombreout"": 8, ""Volumein"": 0}}, ""id"": 331}"
